Station_Code,Lockdown,Pre-Lockdown,pop_den_30s,latitude,longitude,noise_reduction_abs,noise_reduction_pct
IN.PBA,1.585678442196218e-09,2.762083357349348e-09,382.0,11.655733,92.743919,1.1764049151531298e-09,42.59121695306382
IN.SHL,1.4382589027424648e-09,9.247278080664998e-09,2544.0,25.566816,91.855949,7.809019177922533e-09,84.4466783609579
IS.AMAZ,1.567752380921346e-08,1.5956385436563412e-08,146.0,31.5325,34.9154,2.7886162734995364e-10,1.7476491054857168
IU.DAV,1.311749125018271e-08,2.0307260402682015e-08,37.0,5.177,118.498,7.189769152499305e-09,35.40491927483108
IU.KONO,1.217108633811125e-10,1.329456572860215e-10,36.0,59.6491,9.5982,1.1234793904908982e-11,8.450666335597754
IU.OTAV,2.0033294911686698e-10,3.630741551393354e-09,26.0,0.2376,-78.4508,3.4304086022764874e-09,94.48231315060181
IV.CMSN,1.5543335400678665e-08,2.0689000614420267e-08,899.0,40.8382,14.1818,5.145665213741602e-09,24.87150205870778
IV.FIR,1.03945855359935e-08,1.9241127409165933e-08,8271.0,43.774366,11.255134,8.846541873172433e-09,45.97725322975715
IV.MILN,7.4102137727327994e-09,9.042442108483129e-09,8950.0,45.4803,9.2321,1.6322283357503293e-09,18.050746868692265
KO.ANTB,1.6011657351980413e-08,1.3678229018891034e-08,202.0,36.8998,30.6538,-2.3334283330893795e-09,-17.059433131779535
KO.SAUV,1.2494536787898562e-09,2.125610703523175e-09,765.0,40.7402,30.3272,8.761570247333189e-10,41.21907286602852
KV.GOM,2.777580560582139e-09,3.1299508117202123e-09,5936.0,-1.681242,29.226703,3.523702511380733e-10,11.258012420470328
LD.CPNY,1.7342677377104897e-09,1.917608022785012e-09,5100.0,40.7911,-73.960197,1.833402850745222e-10,9.560884335905646
MD.KIS,1.328032979875946e-08,1.6619027912533075e-08,1214.0,46.9975,28.8175,3.338698113773615e-09,20.089611325917378
MN.RTC,6.073855973152423e-08,6.298196924110497e-08,2494.0,33.9881,-6.8569,2.243409509580742e-09,3.5619869251668117
MQ.ZAM,7.33778428710447e-10,2.362108657396518e-09,569.0,14.58501,-61.02243,1.628330228686071e-09,68.93544984000833
NC.MCY,3.4940821108798626e-09,1.0179183415018895e-08,0.0,37.642929,-119.029137,6.685101304139032e-09,65.6742395885655
NC.MLI,9.782645239393506e-09,1.8599668330797175e-08,0.0,37.636761,-119.017906,8.817023091403669e-09,47.404195250108394
NE.BCX,9.71559812803244e-10,1.2654152478590722e-09,6554.0,42.335,-71.1705,2.9385543505582817e-10,23.222055807609053
NE.WES,5.062562121987982e-10,2.2078780640451128e-10,148.0,42.3848,-71.3218,-2.854684057942869e-10,-129.29536754909037
NE.WSPT,1.3366981981982255e-09,2.9632659388879102e-09,391.0,41.1712,-73.327797,1.6265677406896848e-09,54.891048398447914
NL.ALK1,2.4326832890128924e-08,2.913915200037213e-08,3043.0,52.633821,4.744356,4.812319110243207e-09,16.514959358397764
NP.1799,8.900489279595599e-09,1.130099324551586e-08,2197.0,37.271133,-121.986237,2.4005039659202615e-09,21.241530843961538
NS.BER,7.281330653303913e-10,7.969149526590649e-10,618.0,60.38381,5.33389,6.878188732867365e-11,8.631019796926791
NS.DOMB,2.371266672935949e-10,3.0056608166860904e-10,2.0,62.0732,9.1122,6.343941437501414e-11,21.10664450986178
NS.HOMB,1.223215753760856e-10,1.5023773444283242e-10,84.0,58.2702,8.5052,2.791615906674681e-11,18.58132324097932
NS.ODLO,3.3239797263872835e-10,4.917459628089228e-10,603.0,63.455,10.4458,1.593479901701945e-10,32.40453449988204
NS.STAV,7.441633668968457e-10,9.918788527112043e-10,1227.0,58.9348,5.7022,2.477154858143586e-10,24.97436911143457
NS.TRO,2.375018962266982e-10,2.696656843190143e-10,31.0,69.6345,18.9077,3.2163788092316055e-11,11.927282543768648
OE.DAVA,3.063288184635608e-10,2.447522160210307e-10,15.0,47.2867,9.8803,-6.15766024425301e-11,-25.158751754565944
OE.VIE,9.666793176431338e-09,1.0976605571397664e-08,4625.0,48.2483,16.3617,1.309812394966326e-09,11.932763607534328
ON.TIJ01,1.822186512502837e-10,2.0887908191527994e-10,13.0,-25.908848,-49.024242,2.6660430664996232e-11,12.763571354555042
PA.BRU2,2.5157988287162177e-09,2.765342610629467e-09,68.0,8.794,-82.687798,2.4954378191324915e-10,9.023973411252872
PF.PRO,9.383695168772659e-10,1.5279981379111449e-09,1129.0,-20.898865,55.452617,5.89628621033879e-10,38.5883075642967
PT.HILB,2.8819387632755826e-09,3.6296633772047592e-09,2453.0,19.7,-155.08,7.477246139291766e-10,20.600384559766173
QM.KNKL,7.371054768794832e-09,1.288204303249017e-08,272.0,-12.95713,45.1042,5.510988263695338e-09,42.78039011200255
RM.SZP,2.439623462615959e-08,8.041898675197068e-07,25.0,17.552,120.455002,7.797936328935471e-07,96.96635886480355
RO.BTMR,3.0167716191352344e-08,3.567615181004282e-08,10501.0,44.437,26.1067,5.5084356186904755e-09,15.440105894884812
S1.AUALB,1.1174352601071129e-08,1.2617318113681609e-08,326.0,-34.9995,117.904602,1.44296551261048e-09,11.436388459174998
S1.AUDAR,1.3869614419240112e-08,1.4818160708872557e-08,1495.0,-35.252998,149.1377,9.485462896324442e-10,6.401241748339863
S1.AUKSC,1.2424818999383304e-08,1.4078089818913146e-08,3869.0,-37.968399,145.158401,1.653270819529842e-09,11.743573459154685
S1.AUUHS,3.696396166524277e-09,6.276906471233922e-09,512.0,-35.358898,150.469604,2.580510304709645e-09,41.111179791123526
SV.PAVA,5.4202544989672286e-09,1.0427798977040435e-08,2014.0,13.71299,-88.937119,5.007544478073207e-09,48.02110674648259
TC.BELE,1.7167203528733705e-08,2.6670452268676288e-08,2706.0,9.976,-84.188,9.503248739942584e-09,35.63212443571453
TC.HEME,2.9081824358445585e-08,3.8367932549443043e-08,8315.0,9.99532,-84.13678,9.286108190997459e-09,24.202784914279302
TC.MEXI,1.418836057800031e-07,2.0571541511252566e-07,5197.0,9.941,-84.086,6.383180933252256e-08,31.029181404615098
TC.SJS1,8.693902660900753e-08,1.317404548372831e-07,4008.0,9.93808,-84.05211,4.480142822827556e-08,34.0073429104304
US.AAM,6.596379132286138e-09,8.365813479617186e-09,137.0,42.3012,-83.6567,1.7694343473310483e-09,21.15077453785183
YS.CN19,9.610832350705606e-10,2.7068837644556165e-09,122.0,42.5351,1.717,1.745800529385056e-09,64.49484652090908
