Station_Code,noise_change_pct,Period,pop_den_30s,latitude,longitude
AM.RCCD1,12.78672428187722,Pré-Lockdown (Azul),207.0,17.99099099,-66.61079735
AM.RD2D3,9.471887736581635,Pré-Lockdown (Azul),1515.0,13.4954955,144.7840609
AM.RD6BB,-8.830127192158706,Pré-Lockdown (Azul),5.0,39.18918919,-123.2215051
AM.RDABA,-16.154725684999292,Pré-Lockdown (Azul),3662.0,40.2703,-74.7761
AM.REAF3,8.363849601184036,Pré-Lockdown (Azul),48316.0,22.26126126,114.2473283
AM.RFBE4,15.083726993870549,Pré-Lockdown (Azul),1390.0,21.57657658,39.21692875
AM.S0C34,-8.38189835678281,Pré-Lockdown (Azul),3344.902,38.716376,-9.217416
AM.S4458,18.028505781513147,Pré-Lockdown (Azul),2028.0,36.79279279,127.1160104
AU.GHSS,5.062387381217697,Pré-Lockdown (Azul),1573.0,-34.919399,138.6017
BE.UCC,39.65790100822122,Pré-Lockdown (Azul),3866.0,50.797241,4.36038
BK.BKS,12.707211746046362,Pré-Lockdown (Azul),37.0,37.87622,-122.23558
BK.BRK,-5.762212554623748,Pré-Lockdown (Azul),4808.0,37.87352,-122.26099
BK.JRSC,8.669869532669814,Pré-Lockdown (Azul),68.0,37.4,-122.24
BW.MNH,28.643976913905732,Pré-Lockdown (Azul),4862.0,48.15,11.6
BW.ZUGS,-3.2887594486875216,Pré-Lockdown (Azul),106.0,47.416309,10.97883
BX.KOOLE,5.597902501151051,Pré-Lockdown (Azul),1.0,-22.993059,20.195551
C1.MG01,-13.717532250423567,Pré-Lockdown (Azul),0.0,-54.93,-67.63
C1.MT14,16.63613486357025,Pré-Lockdown (Azul),3430.0,-33.4,-70.54
CA.ICJA,39.10436350481727,Pré-Lockdown (Azul),18302.0,41.3844,2.1189
CA.POBL,-8.218166029271266,Pré-Lockdown (Azul),61.0,41.379251,1.083477
CH.SBERN,31.06764599943277,Pré-Lockdown (Azul),2453.0,46.94582,7.43954
CH.SEPFL,24.29482175901883,Pré-Lockdown (Azul),2374.0,46.521239,6.565748
CH.SGEV,33.08207752849209,Pré-Lockdown (Azul),13291.0,46.20062,6.13676
CH.SKLW,-2.006725938294032,Pré-Lockdown (Azul),1052.0,47.463,8.56745
CH.SLOP,32.73648552262195,Pré-Lockdown (Azul),972.0,46.16384,8.79055
CH.SZUZ,19.82952885069605,Pré-Lockdown (Azul),4708.0,47.377497,8.530235
CI.SBC,-6.5431549001541995,Pré-Lockdown (Azul),1058.0,34.440762,-119.71492
CI.USC,1.6145245841178415,Pré-Lockdown (Azul),2816.0,34.019192,-118.286308
CN.MNTQ,17.888989030127462,Pré-Lockdown (Azul),7040.0,45.5003,-73.6228
CQ.MVOU,-5.477187742269265,Pré-Lockdown (Azul),46.0,35.016,33.632
CU.BBGH,4.057335428561604,Pré-Lockdown (Azul),472.0,13.1434,-59.5588
CU.TGUH,12.96379312815376,Pré-Lockdown (Azul),883.0,14.057,-87.273
FR.CURIE,-0.9355882401580828,Pré-Lockdown (Azul),27905.0,48.8445,2.3558
G.FDFM,-8.369834998430292,Pré-Lockdown (Azul),109.0,14.73493,-61.159728
GB.EDI,10.130120912818697,Pré-Lockdown (Azul),182.0,55.923328,-3.1875
GB.GAT2,11.141390121427797,Pré-Lockdown (Azul),81.0,51.145,-0.224
GE.ACRG,27.06950296500967,Pré-Lockdown (Azul),16136.0,5.641485,-0.207117
GE.SALP,11.245511760010363,Pré-Lockdown (Azul),635.0,32.0686,35.1914
GE.STU,26.721690327529387,Pré-Lockdown (Azul),16136.0,5.641485,-0.207117
GE.WLF,25.475840143409926,Pré-Lockdown (Azul),857.0,49.6646,6.1526
GO.TBLG,17.86527040266776,Pré-Lockdown (Azul),2104.0,41.730919,44.73819
GR.BFO,16.53924125384907,Pré-Lockdown (Azul),41.0,48.3301,8.3296
GR.BUG,20.403334488189707,Pré-Lockdown (Azul),2348.0,51.4412,7.2707
HK.HKPS,27.906448707142957,Pré-Lockdown (Azul),12830.0,22.277599,114.141502
